ok  	github.com/openshift/origin/pkg/cmd/admin/groups/sync/syncerror	0.131s
ok  	github.com/openshift/origin/pkg/cmd/admin/node	0.098s
ok  	github.com/openshift/origin/pkg/cmd/admin/policy	0.066s
ok  	github.com/openshift/origin/pkg/cmd/cli	0.080s
ok  	github.com/openshift/origin/pkg/cmd/cli/cmd	0.156s
ok  	github.com/openshift/origin/pkg/cmd/cli/cmd/rsync	0.135s
ok  	github.com/openshift/origin/pkg/cmd/cli/describe	0.186s
ok  	github.com/openshift/origin/pkg/cmd/cli/secrets	0.086s
ok  	github.com/openshift/origin/pkg/cmd/flagtypes	0.011s
ok  	github.com/openshift/origin/pkg/cmd/infra/deployer	0.019s
ok  	github.com/openshift/origin/pkg/cmd/openshift	0.469s
ok  	github.com/openshift/origin/pkg/cmd/recycle	0.026s
ok  	github.com/openshift/origin/pkg/cmd/server/admin	25.186s
ok  	github.com/openshift/origin/pkg/cmd/server/api	0.349s
ok  	github.com/openshift/origin/pkg/cmd/server/api/v1	0.040s
ok  	github.com/openshift/origin/pkg/cmd/server/api/validation	0.091s
ok  	github.com/openshift/origin/pkg/cmd/server/bootstrappolicy	0.041s
ok  	github.com/openshift/origin/pkg/cmd/server/crypto	18.123s
ok  	github.com/openshift/origin/pkg/cmd/server/kubernetes	0.065s
ok  	github.com/openshift/origin/pkg/cmd/server/origin	0.086s
ok  	github.com/openshift/origin/pkg/cmd/server/start	0.553s
ok  	github.com/openshift/origin/pkg/cmd/util	0.047s
ok  	github.com/openshift/origin/pkg/cmd/util/clientcmd	0.088s
ok  	github.com/openshift/origin/pkg/cmd/util/docker	0.023s
ok  	github.com/openshift/origin/pkg/cmd/util/pluginconfig	0.035s
ok  	github.com/openshift/origin/pkg/cmd/util/tokencmd	0.109s
ok  	github.com/openshift/origin/pkg/controller	0.047s
ok  	github.com/openshift/origin/pkg/deploy/api	0.080s
ok  	github.com/openshift/origin/pkg/deploy/api/v1	0.085s
ok  	github.com/openshift/origin/pkg/deploy/api/v1beta3	0.086s
ok  	github.com/openshift/origin/pkg/deploy/api/validation	0.059s
ok  	github.com/openshift/origin/pkg/deploy/controller/configchange	0.059s
ok  	github.com/openshift/origin/pkg/deploy/controller/deployerpod	0.020s
ok  	github.com/openshift/origin/pkg/deploy/controller/deployment	0.031s
ok  	github.com/openshift/origin/pkg/deploy/controller/deploymentconfig	0.201s
ok  	github.com/openshift/origin/pkg/deploy/controller/imagechange	0.030s
ok  	github.com/openshift/origin/pkg/deploy/generator	0.292s
ok  	github.com/openshift/origin/pkg/deploy/graph	0.122s
ok  	github.com/openshift/origin/pkg/deploy/graph/analysis	0.126s
ok  	github.com/openshift/origin/pkg/deploy/graph/nodes	0.032s
ok  	github.com/openshift/origin/pkg/deploy/prune	6.240s
ok  	github.com/openshift/origin/pkg/deploy/reaper	14.153s
ok  	github.com/openshift/origin/pkg/deploy/registry/deployconfig	0.040s
ok  	github.com/openshift/origin/pkg/deploy/registry/deployconfig/etcd	4.843s
ok  	github.com/openshift/origin/pkg/deploy/registry/deploylog	0.086s
ok  	github.com/openshift/origin/pkg/deploy/registry/rollback	0.091s
ok  	github.com/openshift/origin/pkg/deploy/scaler	0.079s
ok  	github.com/openshift/origin/pkg/deploy/strategy/recreate	0.030s
ok  	github.com/openshift/origin/pkg/deploy/strategy/rolling	0.080s
ok  	github.com/openshift/origin/pkg/deploy/strategy/support	0.081s
ok  	github.com/openshift/origin/pkg/deploy/util	0.043s
ok  	github.com/openshift/origin/pkg/diagnostics/cluster	0.017s
ok  	github.com/openshift/origin/pkg/dockerregistry	0.146s
ok  	github.com/openshift/origin/pkg/dockerregistry/server	0.149s
ok  	github.com/openshift/origin/pkg/generate/app	0.062s
ok  	github.com/openshift/origin/pkg/generate/app/cmd	0.031s
ok  	github.com/openshift/origin/pkg/generate/dockerfile	0.042s
ok  	github.com/openshift/origin/pkg/generate/git	0.038s
ok  	github.com/openshift/origin/pkg/generate/source	0.004s
ok  	github.com/openshift/origin/pkg/image/api	0.033s
ok  	github.com/openshift/origin/pkg/image/api/v1	0.079s
ok  	github.com/openshift/origin/pkg/image/api/v1beta3	0.046s
ok  	github.com/openshift/origin/pkg/image/api/validation	0.031s
ok  	github.com/openshift/origin/pkg/image/controller	0.097s
ok  	github.com/openshift/origin/pkg/image/importer	0.375s
ok  	github.com/openshift/origin/pkg/image/prune	0.101s
ok  	github.com/openshift/origin/pkg/image/registry/image/etcd	6.777s
ok  	github.com/openshift/origin/pkg/image/registry/imagesecret	0.030s
ok  	github.com/openshift/origin/pkg/image/registry/imagestream	0.031s
ok  	github.com/openshift/origin/pkg/image/registry/imagestream/etcd	1.707s
ok  	github.com/openshift/origin/pkg/image/registry/imagestreamimage	4.042s
ok  	github.com/openshift/origin/pkg/image/registry/imagestreammapping	2.408s
ok  	github.com/openshift/origin/pkg/image/registry/imagestreamtag	4.090s
ok  	github.com/openshift/origin/pkg/ipfailover	0.045s
ok  	github.com/openshift/origin/pkg/ipfailover/keepalived	0.026s
ok  	github.com/openshift/origin/pkg/oauth/api/v1	0.068s
